City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Vaini,TO,77.0,light rain,-21.2,-175.2,Keleti Beach Resort
10,Nizwa,OM,82.58,clear sky,22.9333,57.5333,Orient Apartments
11,Manokwari,ID,78.42,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
14,Kavieng,PG,80.64,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
16,San Patricio,US,82.99,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
17,Hilo,US,73.0,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
18,Ixtapa,MX,77.0,broken clouds,20.7,-105.2,Hotel Plaza Providencia
19,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
20,Avarua,CK,80.6,broken clouds,-21.2078,-159.775,Paradise Inn
28,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
37,Acandi,CO,89.1,scattered clouds,8.5063,-77.2778,Hotel Patio Bonito
40,Callaway,US,79.0,clear sky,30.153000000000002,-85.5699,Holiday Inn Express & Suites Panama City-Tyndall
45,Ca Mau,VN,78.69,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
46,Guerrero Negro,MX,80.35,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
48,Dhidhdhoo,MV,84.13,few clouds,6.8833,73.1,Dhidhoo beach
49,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
50,Sao Felix Do Xingu,BR,84.02,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
52,Rikitea,PF,79.2,broken clouds,-23.1203,-134.9692,Pension Maro'i
53,Maputo,MZ,82.0,few clouds,-25.9653,32.5892,Pestana Rovuma
54,Moron,AR,75.99,clear sky,-34.6534,-58.6198,Hotel Morón
56,Namatanai,PG,78.35,broken clouds,-3.6667,152.4333,Namatanai Hotel
59,Jiwani,PK,79.66,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
60,Biak,ID,77.54,overcast clouds,-0.9131,122.8766,Penginapan Kim
65,Lorengau,PG,79.16,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
67,Bengkulu,ID,77.07,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
70,Kutum,SD,72.48,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
71,Georgetown,MY,81.0,few clouds,5.4112,100.3354,Cititel Penang
73,Tabuk,PH,72.14,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
79,Labuhan,ID,77.07,heavy intensity rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
80,San Ciro De Acosta,MX,88.54,overcast clouds,21.6333,-99.8167,Hotel Maria Isabel
83,Arraial Do Cabo,BR,82.4,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
90,Kindu,CD,71.06,light rain,-2.95,25.95,Résidence Okanda
91,Tanete,ID,75.6,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
93,Padang,ID,75.29,light rain,-0.9492,100.3543,Mercure Padang
95,Lata,PT,75.2,clear sky,40.1629,-8.3327,Casa Maquia
99,Suba,PH,82.24,overcast clouds,10.8438,121.0102,Casita Bed and Grill
104,Iberia,US,82.0,overcast clouds,29.9502,-91.7507,back to back rv park
106,Dingle,PH,76.37,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
112,Touros,BR,86.0,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
114,Atuona,PF,80.58,overcast clouds,-9.8,-139.0333,Villa Enata
115,Thanh Hoa,VN,72.99,few clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
121,Butaritari,KI,80.28,moderate rain,3.0707,172.7902,Isles Sunset Lodge
125,Kapaa,US,73.99,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
131,Poso,ID,80.01,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
133,Faanui,PF,81.43,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
134,Pisco,PE,75.2,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
135,Waingapu,ID,76.98,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
138,Bushehr,IR,71.6,clear sky,28.9684,50.8385,Yas Hotel
139,Balotra,IN,77.45,clear sky,25.8333,72.2333,Hotel City Square
142,Alofi,NU,78.8,few clouds,-19.0595,-169.9187,Taloa Heights
146,Cerro Largo,BR,77.0,scattered clouds,-28.1486,-54.7381,Hotel Missões
158,Baghdad,IQ,73.4,clear sky,33.3406,44.4009,Baghdad Hotel
160,Puerto Escondido,MX,87.8,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
161,Carnarvon,AU,73.4,clear sky,-24.8667,113.6333,Hospitality Carnarvon
162,Soyo,AO,78.57,overcast clouds,-6.1349,12.3689,Hotel Mpampa
164,Manggar,ID,78.89,overcast clouds,-2.8833,108.2667,Guest Hotel
167,Playas,EC,78.85,overcast clouds,-2.6333,-80.3833,Hostal Promenade
176,Arlit,NE,79.32,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
181,Ambovombe,MG,70.52,few clouds,-25.1667,46.0833,RELAHARA
182,Cockburn Town,TC,80.6,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
185,Nouakchott,MR,71.6,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
186,Monkey Bay,MW,74.59,light rain,-14.0728,34.9201,Monkey Bay Beach Lodge
196,Kahului,US,75.2,few clouds,20.8947,-156.47,Maui Seaside Hotel
204,Salalah,OM,86.0,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
205,Hambantota,LK,80.6,clear sky,6.1241,81.1185,Bungalow 63
210,Tucupita,VE,89.64,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
211,Port Blair,IN,80.71,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
213,Mackay,AU,70.0,scattered clouds,-21.15,149.2,International Lodge Motel
215,Richards Bay,ZA,72.3,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
216,Banda Aceh,ID,79.52,overcast clouds,5.5577,95.3222,Sulthan Hotel International
218,Poum,NC,78.58,light rain,-20.2333,164.0167,Gîte kajeon
219,Santo Antonio Do Ica,BR,82.11,overcast clouds,-3.1022,-67.9397,Hotel Fogaça
222,Sao Filipe,CV,70.95,clear sky,14.8961,-24.4956,Tortuga B&B
226,Trairi,BR,79.79,overcast clouds,-3.2778,-39.2689,janelas do mar
