City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Filotion,GR,37.05,25.5,51.8,82,80,23.02,broken clouds
1,Punta Arenas,CL,-53.15,-70.9167,50.0,71,0,6.91,clear sky
2,Vaini,TO,-21.2,-175.2,77.0,94,75,5.75,light rain
3,Coolum Beach,AU,-26.5333,153.1,62.01,96,68,1.01,broken clouds
4,Hay River,CA,60.8156,-115.7999,32.0,64,100,5.75,light snow
5,Busselton,AU,-33.65,115.3333,66.0,91,100,4.0,moderate rain
6,Nome,US,64.5011,-165.4064,-7.6,77,1,6.24,clear sky
7,Hobart,AU,-42.8794,147.3294,66.2,63,86,10.36,overcast clouds
8,Mataura,NZ,-46.1927,168.8643,37.99,93,19,1.01,few clouds
9,Cape Town,ZA,-33.9258,18.4232,66.0,77,75,4.61,broken clouds
10,Nizwa,OM,22.9333,57.5333,82.58,21,1,12.97,clear sky
11,Manokwari,ID,-0.8667,134.0833,78.42,79,83,2.46,broken clouds
12,East London,ZA,-33.0153,27.9116,66.2,72,0,9.22,clear sky
13,Barrow,US,71.2906,-156.7887,-9.4,64,20,20.71,few clouds
14,Kavieng,PG,-2.5744,150.7967,80.64,78,92,4.47,overcast clouds
15,Castro,BR,-24.7911,-50.0119,69.39,53,0,8.14,clear sky
16,San Patricio,US,28.017,-97.5169,82.99,74,75,6.91,broken clouds
17,Hilo,US,19.7297,-155.09,73.0,77,90,3.44,overcast clouds
18,Ixtapa,MX,20.7,-105.2,77.0,53,75,8.05,broken clouds
19,Souillac,MU,-20.5167,57.5167,78.8,89,40,3.44,scattered clouds
20,Avarua,CK,-21.2078,-159.775,80.6,74,75,8.05,broken clouds
21,Lobnya,RU,56.0097,37.4819,42.8,93,90,17.9,light rain
22,Kodiak,US,57.79,-152.4072,28.4,59,20,9.22,few clouds
23,Albany,US,42.6001,-73.9662,59.0,62,100,5.01,overcast clouds
24,Prince Rupert,CA,54.3161,-130.3201,39.2,87,90,14.97,light rain
25,Ushuaia,AR,-54.8,-68.3,50.0,57,0,3.44,clear sky
26,Grand Bank,CA,47.0999,-55.765,35.6,60,0,8.05,clear sky
27,Ponta Do Sol,PT,32.6667,-17.1,61.0,69,62,4.0,broken clouds
28,Mahebourg,MU,-20.4081,57.7,78.8,89,40,3.44,scattered clouds
29,Port Elizabeth,ZA,-33.918,25.5701,64.4,88,20,17.27,few clouds
30,La Ronge,CA,55.1001,-105.2842,33.8,55,92,8.05,overcast clouds
31,Esperance,AU,-33.8667,121.9,62.6,94,51,9.22,broken clouds
32,Bardiyah,LY,31.7561,25.0865,54.79,64,44,22.95,scattered clouds
33,Kaitangata,NZ,-46.2817,169.8464,44.01,86,14,1.99,few clouds
34,Tasiilaq,GL,65.6145,-37.6368,32.0,93,75,16.11,fog
35,Kijang,KR,35.2442,129.2139,51.8,66,0,6.91,clear sky
36,Raudeberg,NO,61.9875,5.1352,39.0,83,18,12.28,few clouds
37,Acandi,CO,8.5063,-77.2778,89.1,63,45,10.09,scattered clouds
38,Nikolskoye,RU,59.7035,30.7861,36.0,87,0,11.18,clear sky
39,Thohoyandou,ZA,-22.9456,30.485,69.84,59,95,2.93,overcast clouds
40,Callaway,US,30.153,-85.5699,79.0,69,1,11.5,clear sky
41,Bonavista,CA,48.6499,-53.1147,41.0,33,23,1.14,few clouds
42,Devils Lake,US,48.1128,-98.8651,24.01,58,75,11.5,broken clouds
43,New Norfolk,AU,-42.7826,147.0587,66.2,63,87,10.36,overcast clouds
44,Qaanaaq,GL,77.484,-69.3632,7.79,90,100,18.66,snow
45,Ca Mau,VN,9.1769,105.15,78.69,76,100,4.36,overcast clouds
46,Guerrero Negro,MX,27.9769,-114.0611,80.35,19,57,3.2,broken clouds
47,Port Alfred,ZA,-33.5906,26.891,67.35,85,34,10.92,scattered clouds
48,Dhidhdhoo,MV,6.8833,73.1,84.13,74,18,8.86,few clouds
49,Saint-Philippe,RE,-21.3585,55.7679,78.8,83,75,9.22,light rain
50,Sao Felix Do Xingu,BR,-6.6447,-51.995,84.02,77,41,0.43,scattered clouds
51,Avera,US,33.194,-82.5271,82.4,57,75,13.8,broken clouds
52,Rikitea,PF,-23.1203,-134.9692,79.2,69,81,18.14,broken clouds
53,Maputo,MZ,-25.9653,32.5892,82.0,54,20,11.5,few clouds
54,Moron,AR,-34.6534,-58.6198,75.99,43,0,10.36,clear sky
55,Barcelona,ES,41.3888,2.159,59.0,82,0,4.61,clear sky
56,Namatanai,PG,-3.6667,152.4333,78.35,81,82,1.52,broken clouds
57,Provideniya,RU,64.3833,-173.3,-3.26,87,20,4.27,few clouds
58,Longyearbyen,SJ,78.2186,15.6401,26.6,68,75,5.75,broken clouds
59,Jiwani,PK,25.05,61.7417,79.66,62,0,8.25,clear sky
60,Biak,ID,-0.9131,122.8766,77.54,80,87,3.47,overcast clouds
61,Rocha,UY,-34.4833,-54.3333,67.93,63,62,8.03,broken clouds
62,Beringovskiy,RU,63.05,179.3167,1.99,94,99,2.71,overcast clouds
63,Touba,CI,8.2833,-7.6833,91.06,28,59,6.06,broken clouds
