City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yellowknife,CA,2021-03-29 22:20:43,62.456,-114.3525,7.0,43,20,10.36
1,Visnes,NO,2021-03-29 22:22:31,59.3556,5.2242,45.0,100,90,10.36
2,Hilo,US,2021-03-29 22:22:31,19.7297,-155.09,75.2,73,75,3.44
3,Vaini,TO,2021-03-29 22:22:32,-21.2,-175.2,82.4,89,40,8.05
4,Cape Town,ZA,2021-03-29 22:18:03,-33.9258,18.4232,63.0,82,0,6.91
5,Olinda,BR,2021-03-29 22:22:32,-8.0089,-34.8553,80.6,74,75,6.91
6,East London,ZA,2021-03-29 22:22:32,-33.0153,27.9116,69.12,86,99,17.49
7,Chissamba,AO,2021-03-29 22:22:33,-12.1667,17.3333,63.12,98,100,0.83
8,Teya,RU,2021-03-29 22:21:15,60.3778,92.6267,8.01,99,100,1.03
9,Barrow,US,2021-03-29 22:22:33,71.2906,-156.7887,-2.2,65,1,24.16
10,Sorland,NO,2021-03-29 22:22:33,67.667,12.6934,41.59,85,100,20.8
11,New Norfolk,AU,2021-03-29 22:22:34,-42.7826,147.0587,54.0,68,100,3.62
12,Cherskiy,RU,2021-03-29 22:22:34,68.75,161.3,-2.67,95,100,8.3
13,Puerto Ayora,EC,2021-03-29 22:22:34,-0.7393,-90.3518,82.4,78,20,10.36
14,Isangel,VU,2021-03-29 22:22:35,-19.55,169.2667,80.6,83,20,9.28
15,Umm Lajj,SA,2021-03-29 22:22:35,25.0213,37.2685,71.87,62,48,12.39
16,Tiksi,RU,2021-03-29 22:22:35,71.6872,128.8694,4.51,98,100,4.38
17,Pangnirtung,CA,2021-03-29 22:22:36,66.1451,-65.7125,10.4,72,90,9.22
18,Mirador,BR,2021-03-29 22:22:36,-6.3708,-44.3631,74.88,94,80,3.11
19,Castro,BR,2021-03-29 22:22:36,-24.7911,-50.0119,63.93,93,72,5.32
20,Ahipara,NZ,2021-03-29 22:22:37,-35.1667,173.1667,70.3,87,31,7.52
21,Dingle,PH,2021-03-29 22:22:37,10.9995,122.6711,74.97,93,63,6.98
22,Aksu,CN,2021-03-29 22:22:37,41.1231,80.2644,45.84,61,52,4.0
23,Tasiilaq,GL,2021-03-29 22:22:38,65.6145,-37.6368,19.4,58,0,7.45
24,Rikitea,PF,2021-03-29 22:22:38,-23.1203,-134.9692,79.03,68,11,15.05
25,Nome,US,2021-03-29 22:22:38,64.5011,-165.4064,35.01,93,90,5.75
26,Uyuni,BO,2021-03-29 22:22:38,-20.4597,-66.825,59.2,22,9,9.28
27,Taltal,CL,2021-03-29 22:22:39,-25.4,-70.4833,67.35,72,23,6.15
28,Airai,TL,2021-03-29 22:22:39,-8.9266,125.4092,59.56,98,100,4.43
29,Qaanaaq,GL,2021-03-29 22:22:39,77.484,-69.3632,-14.21,68,44,7.54
30,Hobart,AU,2021-03-29 22:22:40,-42.8794,147.3294,55.4,62,0,8.05
31,Ponta Do Sol,PT,2021-03-29 22:22:40,32.6667,-17.1,62.6,72,20,12.66
32,Ushuaia,AR,2021-03-29 22:21:27,-54.8,-68.3,51.8,66,20,4.61
33,Marga,RO,2021-03-29 22:22:40,45.5,22.5167,38.16,84,46,3.94
34,Sao Filipe,CV,2021-03-29 22:22:41,14.8961,-24.4956,69.53,74,69,12.3
35,Jamestown,US,2021-03-29 22:22:41,42.097,-79.2353,39.2,60,1,6.46
36,Thompson,CA,2021-03-29 22:22:41,55.7435,-97.8558,10.4,85,90,21.85
37,Karratha,AU,2021-03-29 22:22:42,-20.7377,116.8463,87.78,43,55,6.2
38,Kushmurun,KZ,2021-03-29 22:22:42,52.4503,64.6311,18.27,98,97,4.54
39,Punta Arenas,CL,2021-03-29 22:22:42,-53.15,-70.9167,48.2,93,75,3.44
40,Divo,CI,2021-03-29 22:22:43,5.8397,-5.36,73.72,94,12,2.64
41,Kavieng,PG,2021-03-29 22:22:43,-2.5744,150.7967,83.8,73,99,13.89
42,Saskylakh,RU,2021-03-29 22:22:43,71.9167,114.0833,-16.51,98,99,6.29
43,Cabo San Lucas,MX,2021-03-29 22:22:13,22.8909,-109.9124,82.99,33,75,4.61
44,Khudumelapye,BW,2021-03-29 22:22:44,-23.8833,24.75,70.11,48,55,11.27
45,Daru,PG,2021-03-29 22:22:44,-9.0763,143.2092,76.55,94,100,3.76
46,Saint George,US,2021-03-29 22:22:44,37.1041,-113.5841,78.01,9,1,18.41
47,Flinders,AU,2021-03-29 22:22:45,-34.5833,150.8552,64.99,64,56,7.0
48,Krasnoselkup,RU,2021-03-29 22:22:45,65.7,82.4667,-10.1,91,95,7.96
49,Codrington,AU,2021-03-29 22:22:45,-38.2667,141.9667,55.47,77,91,3.87
50,Avarua,CK,2021-03-29 22:22:46,-21.2078,-159.775,84.2,74,40,14.97
51,George Town,MY,2021-03-29 22:22:46,5.4112,100.3354,82.0,89,40,2.3
52,Nikolskoye,RU,2021-03-29 22:22:46,59.7035,30.7861,43.0,70,90,8.95
53,Camacha,PT,2021-03-29 22:22:47,33.0833,-16.3333,62.6,82,40,17.27
54,Port Hardy,CA,2021-03-29 22:22:47,50.6996,-127.4199,44.6,53,20,19.57
55,Ixtapa,MX,2021-03-29 22:22:47,20.7,-105.2,77.0,69,40,11.5
56,Ribeira Grande,PT,2021-03-29 22:22:47,38.5167,-28.7,59.65,80,100,12.75
57,Busselton,AU,2021-03-29 22:22:43,-33.65,115.3333,66.0,94,13,4.68
58,Provideniya,RU,2021-03-29 22:22:48,64.3833,-173.3,21.2,73,90,8.95
59,Saldanha,ZA,2021-03-29 22:22:48,-33.0117,17.9442,64.4,88,0,1.14
60,Mar Del Plata,AR,2021-03-29 22:18:31,-38.0023,-57.5575,63.0,77,20,6.91
61,Lavrentiya,RU,2021-03-29 22:22:48,65.5833,-171.0,13.95,88,99,12.08
62,Atuona,PF,2021-03-29 22:22:49,-9.8,-139.0333,80.49,79,28,18.79
63,Saint-Philippe,RE,2021-03-29 22:22:49,-21.3585,55.7679,77.0,78,0,6.91
64,Kapaa,US,2021-03-29 22:22:49,22.0752,-159.319,77.0,73,75,13.8
65,Mataura,NZ,2021-03-29 22:22:50,-46.1927,168.8643,57.99,94,100,1.01
66,Clonmel,IE,2021-03-29 22:22:50,52.355,-7.7039,50.0,94,99,5.01
67,Carmaux,FR,2021-03-29 22:22:50,44.051,2.158,57.2,57,0,8.05
68,Devonport,AU,2021-03-29 22:22:51,-41.1667,146.35,52.83,56,85,1.52
69,Dzhebariki-Khaya,RU,2021-03-29 22:22:51,62.2167,135.8,15.78,87,100,2.08
70,Faanui,PF,2021-03-29 22:22:51,-16.4833,-151.75,82.44,71,51,15.84
71,Albany,US,2021-03-29 22:22:51,42.6001,-73.9662,44.01,34,2,11.7
72,Nioro,GM,2021-03-29 22:22:52,13.35,-15.75,79.0,44,3,8.59
73,Veydelevka,RU,2021-03-29 22:22:52,50.1521,38.4492,32.09,83,22,6.53
74,Kihei,US,2021-03-29 22:18:40,20.785,-156.4656,82.4,57,40,9.22
75,Bredasdorp,ZA,2021-03-29 22:22:34,-34.5322,20.0403,51.8,100,43,1.14
76,Georgetown,MY,2021-03-29 22:22:52,5.4112,100.3354,82.0,89,40,2.3
77,Karup,DK,2021-03-29 22:22:53,56.3067,9.1684,48.99,93,90,13.8
78,Butaritari,KI,2021-03-29 22:22:53,3.0707,172.7902,81.3,79,24,14.09
79,Atar,MR,2021-03-29 22:22:53,20.5169,-13.0499,80.96,22,5,6.64
80,Southbridge,US,2021-03-29 22:19:49,42.0751,-72.0334,46.0,31,1,1.01
81,Talnakh,RU,2021-03-29 22:22:54,69.4865,88.3972,-24.84,99,27,2.21
82,Viedma,AR,2021-03-29 22:22:54,-40.8135,-62.9967,67.1,53,36,13.82
83,Arraial Do Cabo,BR,2021-03-29 22:21:10,-22.9661,-42.0278,84.2,83,40,6.91
84,Ko Samui,TH,2021-03-29 22:22:54,9.5357,99.9357,81.57,76,100,5.77
85,Toamasina,MG,2021-03-29 22:22:55,-18.1667,49.3833,78.8,94,75,2.3
86,Dicabisagan,PH,2021-03-29 22:22:55,17.0818,122.4157,75.38,88,41,4.81
87,Adrar,MR,2021-03-29 22:22:55,20.5022,-10.0711,81.32,9,69,3.56
88,Sabzevar,IR,2021-03-29 22:22:56,36.2126,57.6819,43.52,54,0,11.79
89,Olafsvik,IS,2021-03-29 22:22:56,64.8945,-23.7142,29.37,67,100,14.36
90,Saint-Joseph,RE,2021-03-29 22:22:56,-21.3667,55.6167,77.0,78,0,6.91
91,Cayenne,GF,2021-03-29 22:22:57,4.9333,-52.3333,81.0,89,75,9.22
92,Leninskoye,KZ,2021-03-29 22:22:57,41.7589,69.3864,42.8,87,0,5.28
93,Ustyuzhna,RU,2021-03-29 22:22:57,58.8394,36.4321,35.31,90,99,13.35
94,Bluff,NZ,2021-03-29 22:22:58,-46.6,168.3333,57.99,94,100,1.01
95,Vila Velha,BR,2021-03-29 22:18:10,-20.3297,-40.2925,80.6,74,0,4.61
96,Bandarbeyla,SO,2021-03-29 22:22:58,9.4942,50.8122,77.85,68,100,6.62
97,Umm Kaddadah,SD,2021-03-29 22:22:59,13.6017,26.6876,68.09,14,0,13.35
98,Poronaysk,RU,2021-03-29 22:22:59,49.2167,143.1167,31.71,98,100,1.59
99,Kahului,US,2021-03-29 22:22:59,20.8947,-156.47,82.4,57,40,9.22
100,Vanavara,RU,2021-03-29 22:22:59,60.34,102.2797,19.54,97,100,2.64
101,Port Moresby,PG,2021-03-29 22:23:00,-9.4431,147.1797,77.0,94,90,5.41
102,Mana,GF,2021-03-29 22:23:00,5.6592,-53.7767,77.25,88,93,13.44
103,Kuragino,RU,2021-03-29 22:23:00,53.8975,92.6725,25.29,73,93,13.04
104,Port Elizabeth,ZA,2021-03-29 22:23:01,-33.918,25.5701,66.2,88,20,13.8
105,Taikang,CN,2021-03-29 22:23:01,46.8333,124.4167,34.32,73,24,7.67
106,Kampong Thum,KH,2021-03-29 22:23:01,12.7111,104.8887,80.11,71,48,7.0
107,Raudeberg,NO,2021-03-29 22:23:02,61.9875,5.1352,46.0,81,100,33.93
108,Burgeo,CA,2021-03-29 22:23:02,47.6167,-57.6152,36.72,97,100,23.98
109,Broken Hill,AU,2021-03-29 22:23:02,-31.95,141.4333,59.0,55,4,3.44
110,Baturaja,ID,2021-03-29 22:23:03,-4.1333,104.1667,71.83,99,62,1.48
111,Sorong,ID,2021-03-29 22:23:03,-0.8833,131.25,78.48,84,91,6.06
112,Fort Morgan,US,2021-03-29 22:20:29,40.2503,-103.8,77.0,6,1,26.46
113,Inhambane,MZ,2021-03-29 22:23:03,-23.865,35.3833,69.19,69,0,5.46
114,Dalvik,IS,2021-03-29 22:23:04,65.9702,-18.5286,26.6,80,90,3.44
115,Meulaboh,ID,2021-03-29 22:23:04,4.1363,96.1285,75.27,93,100,6.85
